state_postal,NHSLDMEM,DRYRUSE,ELWATER,CDD30YR_PUB,WASHLOAD,KWH,DRYRFUEL_Electricity,DRYRFUEL_NA,DRYRFUEL_Natural_Gas,DRYRFUEL_Propane,FUELHEAT_Electricity,FUELHEAT_Fuel_Oil,FUELHEAT_Natural_Gas,FUELHEAT_Other,FUELHEAT_Propane,FUELHEAT_Wood,OUTGRILLFUEL_Natural_Gas,OUTGRILLFUEL_Propane
FL,5,7,1,3891,7,17336.45,1,0,0,0,0,0,0,0,0,0,0,1
MS,1,4,1,2348,4,17726.91,1,0,0,0,1,0,0,0,0,0,1,0
FL,4,5,1,2691,5,20088.59,1,0,0,0,1,0,0,0,0,0,0,0
GA,1,1,1,2295,1,8341.13,1,0,0,0,0,0,1,0,0,0,0,0
GA,3,2,1,2461,2,17685.6,1,0,0,0,1,0,0,0,0,0,1,0
TX,2,3,1,2450,4,5677.07,1,0,0,0,1,0,0,0,0,0,0,0
GA,1,1,0,2481,1,7645.02,1,0,0,0,0,0,1,0,0,0,1,0
LA,6,7,0,2498,10,20322.91,1,0,0,0,1,0,0,0,0,0,0,0
GA,5,4,1,2192,4,16609.5,1,0,0,0,1,0,0,0,0,0,0,1
GA,2,4,1,2286,3,12355.97,1,0,0,0,0,0,0,0,1,0,0,0
TX,1,-2,0,3261,-2,3738.21,0,1,0,0,0,0,0,0,0,0,0,0
FL,3,13,1,2433,9,19559.93,1,0,0,0,1,0,0,0,0,0,0,1
FL,6,2,1,3140,2,19306.43,1,0,0,0,1,0,0,0,0,0,0,0
TX,5,1,0,2839,-2,6405.86,0,0,1,0,0,0,1,0,0,0,0,0
LA,2,-2,1,2561,-2,11061.89,0,1,0,0,1,0,0,0,0,0,0,0
LA,4,15,1,2474,14,15005.89,1,0,0,0,0,0,0,0,0,1,0,0
TX,2,4,1,2944,3,12891.98,1,0,0,0,1,0,0,0,0,0,0,0
LA,2,5,0,2895,6,6240.44,1,0,0,0,0,0,1,0,0,0,0,1
AL,1,3,1,2334,3,7560.6,1,0,0,0,1,0,0,0,0,0,0,0
TX,1,4,0,3189,4,8250.36,1,0,0,0,0,0,1,0,0,0,0,0
TX,3,10,1,3149,10,14426.11,1,0,0,0,1,0,0,0,0,0,0,0
LA,2,2,0,2842,2,22876.74,0,0,1,0,0,0,1,0,0,0,0,1
LA,2,2,1,2954,2,18737.8,1,0,0,0,1,0,0,0,0,0,0,0
AL,1,1,0,2376,1,13475.11,1,0,0,0,0,0,1,0,0,0,0,1
TX,5,2,1,3000,2,346.49,1,0,0,0,1,0,0,0,0,0,0,0
GA,2,2,1,2675,2,21616.22,1,0,0,0,1,0,0,0,0,0,0,0
TX,3,-2,1,2898,-2,11986.87,0,1,0,0,1,0,0,0,0,0,0,0
TX,3,6,1,2738,6,26328.78,1,0,0,0,1,0,0,0,0,0,0,0
TX,3,6,0,3753,6,17459.78,1,0,0,0,0,0,1,0,0,0,0,1
TX,1,0,1,2750,0,6370.85,1,0,0,0,1,0,0,0,0,0,0,0
GA,7,5,1,2405,4,24854.26,1,0,0,0,1,0,0,0,0,0,0,1
TX,2,4,1,3189,4,15178.32,1,0,0,0,1,0,0,0,0,0,0,0
LA,1,2,1,2678,2,6587.83,1,0,0,0,1,0,0,0,0,0,0,0
TX,4,0,0,2534,0,4455.17,1,0,0,0,0,0,1,0,0,0,0,0
LA,1,4,1,2768,4,5888.43,1,0,0,0,1,0,0,0,0,0,0,0
GA,1,4,1,2611,4,9860.6,1,0,0,0,1,0,0,0,0,0,0,0
TX,2,-2,0,3501,-2,9820.64,0,1,0,0,0,0,1,0,0,0,0,0
LA,1,1,1,2650,1,4107.32,1,0,0,0,1,0,0,0,0,0,0,0
FL,4,10,1,2730,8,10216.78,1,0,0,0,0,0,1,0,0,0,0,0
AL,2,5,1,2305,5,8156.96,1,0,0,0,1,0,0,0,0,0,0,0
MS,4,10,1,2462,10,19813.86,1,0,0,0,1,0,0,0,0,0,0,1
GA,4,8,1,2247,8,17895.32,1,0,0,0,1,0,0,0,0,0,0,0
FL,3,14,1,2492,14,22861.97,1,0,0,0,1,0,0,0,0,0,0,1
LA,1,1,1,2919,1,8830.78,1,0,0,0,1,0,0,0,0,0,0,0
TX,1,14,1,2476,14,12399.55,1,0,0,0,1,0,0,0,0,0,0,0
LA,2,1,0,2758,1,12685.07,1,0,0,0,1,0,0,0,0,0,0,0
TX,3,7,1,2785,7,10929.98,1,0,0,0,1,0,0,0,0,0,0,0
TX,5,4,0,2893,4,6355.2,0,0,1,0,0,0,0,0,0,0,0,0
TX,2,3,1,2670,3,9523.72,1,0,0,0,1,0,0,0,0,0,0,0
TX,2,3,1,3572,3,13378.3,1,0,0,0,1,0,0,0,0,0,0,0
LA,1,2,0,2733,2,9504.7,1,0,0,0,0,0,1,0,0,0,0,0
TX,5,10,0,2658,10,16472.94,1,0,0,0,0,0,0,0,0,0,0,0
FL,2,-2,1,3349,2,8070.34,0,1,0,0,1,0,0,0,0,0,0,0
TX,2,2,1,2717,2,9101.56,0,0,1,0,0,0,1,0,0,0,0,0
LA,2,5,1,2720,4,14957.17,1,0,0,0,1,0,0,0,0,0,0,0
FL,1,2,1,3738,2,5271.53,1,0,0,0,1,0,0,0,0,0,0,0
LA,4,7,1,2699,7,17701.07,1,0,0,0,1,0,0,0,0,0,0,0
GA,4,4,1,2422,4,30929.0,1,0,0,0,1,0,0,0,0,0,0,1
FL,3,5,1,2561,5,10558.39,1,0,0,0,1,0,0,0,0,0,0,0
LA,3,7,1,2614,7,22886.0,1,0,0,0,1,0,0,0,0,0,0,0
FL,2,3,1,3065,3,13265.51,1,0,0,0,1,0,0,0,0,0,0,0
FL,2,3,1,3339,3,15747.04,1,0,0,0,1,0,0,0,0,0,0,0
