"LGTIN1TO4","LGTIN4TO8","LGTINMORE8","LGTINLED","LGTINCFL","LGTINCAN","LGTOUTANY","LGTOUTNITE","LGTOUTLED","LGTOUTCFL","LGTOUTCAN","ZLGTIN1TO4","ZLGTIN4TO8","ZLGTINCAN","ZLGTINCFL","ZLGTINLED","ZLGTINMORE8","ZLGTOUTANY","ZLGTOUTCAN","ZLGTOUTCFL","ZLGTOUTLED","ZLGTOUTNITE","DOEID","NWEIGHT"
3,5,3,0,4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106874,4513.4891255
2,3,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108020,16992.755554
7,4,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118111,4377.1455243
2,2,0,0,0,1,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112359,6513.5590209
6,0,0,0,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103514,5685.5600275
2,1,3,0,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105974,530.71790508
2,4,3,0,4,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117785,10228.557712
2,2,2,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113270,11414.037119
1,1,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114807,5174.5445179
1,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,116069,2704.343428
4,1,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104658,6562.4628986
4,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104343,6187.0985473
2,3,3,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101273,4825.7374168
1,2,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,116147,3470.303102
2,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,118364,5190.6716075
1,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118177,6684.9249974
2,6,2,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110482,7278.6689248
2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108755,13091.137158
8,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113335,6230.9279675
2,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,114608,5468.2652566
5,1,3,0,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118288,10573.172501
2,8,3,0,2,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112141,5726.7624239
2,6,0,0,2,4,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,104288,5303.887206
2,2,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104323,6988.2012248
1,1,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,100673,1619.7464405
4,1,2,0,0,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107629,1070.1954139
2,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,106474,6574.8671777
12,6,2,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112189,6727.1427037
4,2,5,0,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,101646,3483.831045
7,2,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,101981,1034.1405048
7,4,0,0,4,3,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,109604,4115.2498308
0,0,4,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115746,5797.090053
1,0,0,0,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116397,13472.784882
8,10,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,103672,4966.1778876
2,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105435,5576.6117453
10,8,6,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117993,4380.287253
7,4,1,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109430,6535.337657
2,7,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115859,9041.3573845
2,8,4,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103033,6164.9254154
3,3,2,0,2,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108428,7338.3882609
3,3,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108199,9014.9506726
2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,110204,3845.6515286
10,5,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106957,8809.5019869
2,0,3,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,116289,15221.837519
7,0,0,0,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115169,6477.6512751
3,0,0,0,2,4,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105665,4983.4161677
3,4,0,0,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108897,2421.7191207
4,4,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110893,10508.731722
3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100606,6898.6717064
2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108931,2138.2635518
3,2,0,0,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116213,6533.2519727
3,4,2,0,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100123,16010.121708
2,1,0,0,3,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103764,11886.431206
8,8,6,0,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108988,8043.8662151
3,2,2,0,1,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118090,6363.0163728
4,4,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102018,6982.8326036
3,1,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,102963,1980.7371365
2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,103889,1756.7658593
8,8,8,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103801,2307.8392539
3,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109389,16312.548258
0,2,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,113281,6954.0866936
5,2,1,0,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104161,2447.9402362
16,10,10,0,2,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102960,2295.3016954
4,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111781,1665.6808503
8,5,5,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118393,2267.3239022
2,10,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108554,2163.0273883
0,4,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,109735,2533.850975
2,2,0,0,3,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110503,3423.5336522
4,8,6,0,4,4,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,100114,6063.3207484
4,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113981,12268.46329
0,2,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,114512,12793.026015
2,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117328,10252.233689
2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115431,16321.355128
5,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,115155,3771.7129103
12,3,0,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,103357,10182.770659
0,0,8,0,4,4,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,100772,8972.1001525
0,4,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105046,2907.0786367
2,4,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,106369,2222.5960419
2,4,0,0,2,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101348,8415.646636
8,0,0,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,116307,8272.0538341
8,5,4,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118305,8887.0350415
3,3,5,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104728,10546.809471
1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102395,5020.5734342
4,2,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,117396,16437.745139
2,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,110791,11418.136935
2,3,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107929,9272.717745
12,4,1,0,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104381,1421.4369516
2,1,0,0,2,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104740,6388.430097
3,5,2,0,1,0,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,104886,8040.7844759
0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110437,11554.492222
2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,100729,5339.2527416
5,5,5,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114859,8048.6252597
0,0,1,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110113,8365.7988655
4,4,4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111771,8528.2493108
2,2,3,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113244,13489.178825
0,0,8,0,1,2,1,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,108139,6524.3364606
4,6,0,0,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,116389,2476.755883
