"REGIONC","DIVISION","STATE_FIPS","state_postal","state_name","DOEID","NWEIGHT"
WEST,Pacific,2,AK,Alaska,104347,718.10106132
WEST,Pacific,2,AK,Alaska,102833,702.74755282
WEST,Pacific,2,AK,Alaska,111795,947.35770341
WEST,Pacific,2,AK,Alaska,103956,955.93048171
WEST,Pacific,2,AK,Alaska,101790,876.86654774
WEST,Pacific,2,AK,Alaska,107629,1070.1954139
WEST,Pacific,2,AK,Alaska,103317,523.16024365
WEST,Pacific,2,AK,Alaska,110883,848.57038959
WEST,Pacific,2,AK,Alaska,117929,1361.2608449
WEST,Pacific,2,AK,Alaska,107041,524.77223848
WEST,Pacific,2,AK,Alaska,118104,751.60471787
WEST,Pacific,2,AK,Alaska,105974,530.71790508
WEST,Pacific,2,AK,Alaska,114858,595.64450776
WEST,Pacific,2,AK,Alaska,110411,628.58462981
WEST,Pacific,2,AK,Alaska,104668,763.53758907
WEST,Pacific,2,AK,Alaska,118046,800.02761876
WEST,Pacific,2,AK,Alaska,100989,793.03265106
WEST,Pacific,2,AK,Alaska,110679,787.48440695
WEST,Pacific,2,AK,Alaska,109227,756.9913202
WEST,Pacific,2,AK,Alaska,115068,1155.8562549
WEST,Pacific,2,AK,Alaska,109638,837.56643891
WEST,Pacific,2,AK,Alaska,113383,726.06972518
WEST,Pacific,2,AK,Alaska,111723,599.92001637
WEST,Pacific,2,AK,Alaska,104812,1157.1484013
WEST,Pacific,2,AK,Alaska,117279,887.47161514
WEST,Pacific,2,AK,Alaska,108662,628.94271124
WEST,Pacific,2,AK,Alaska,103823,930.57489704
WEST,Pacific,2,AK,Alaska,116508,846.70558197
WEST,Pacific,2,AK,Alaska,110817,599.62720867
WEST,Pacific,2,AK,Alaska,112415,955.93048171
WEST,Pacific,2,AK,Alaska,103105,884.68224626
WEST,Pacific,2,AK,Alaska,118170,830.50817598
WEST,Pacific,2,AK,Alaska,108720,746.00575627
WEST,Pacific,2,AK,Alaska,118366,798.17332373
WEST,Pacific,2,AK,Alaska,103073,910.82076371
WEST,Pacific,2,AK,Alaska,107283,726.06972518
WEST,Pacific,2,AK,Alaska,110706,838.34828144
WEST,Pacific,2,AK,Alaska,111836,538.53500395
WEST,Pacific,2,AK,Alaska,110822,1098.2247018
WEST,Pacific,2,AK,Alaska,108634,754.13554993
WEST,Pacific,2,AK,Alaska,117148,649.43953206
WEST,Pacific,2,AK,Alaska,109945,705.21081909
WEST,Pacific,2,AK,Alaska,100556,713.14356331
WEST,Pacific,2,AK,Alaska,105529,764.74720574
WEST,Pacific,2,AK,Alaska,109127,1475.118791
WEST,Pacific,2,AK,Alaska,102075,717.42828264
WEST,Pacific,2,AK,Alaska,107828,705.21081909
WEST,Pacific,2,AK,Alaska,109781,608.42330569
WEST,Pacific,2,AK,Alaska,115094,875.02822436
WEST,Pacific,2,AK,Alaska,107947,1211.2873365
WEST,Pacific,2,AK,Alaska,111281,817.67349656
WEST,Pacific,2,AK,Alaska,118458,677.0581435
WEST,Pacific,2,AK,Alaska,118128,520.55272021
WEST,Pacific,2,AK,Alaska,114155,613.12729333
WEST,Pacific,2,AK,Alaska,112651,915.69696304
WEST,Pacific,2,AK,Alaska,100421,1154.3018361
WEST,Pacific,2,AK,Alaska,104907,1028.3398547
WEST,Pacific,2,AK,Alaska,112872,789.9976007
WEST,Pacific,2,AK,Alaska,107386,545.47575953
WEST,Pacific,2,AK,Alaska,106051,881.31283265
WEST,Pacific,2,AK,Alaska,115088,851.96594691
WEST,Pacific,2,AK,Alaska,100180,486.30413863
WEST,Pacific,2,AK,Alaska,109147,788.3821418
WEST,Pacific,2,AK,Alaska,114725,862.7570041
WEST,Pacific,2,AK,Alaska,117556,1070.2784197
WEST,Pacific,2,AK,Alaska,106746,774.30887584
WEST,Pacific,2,AK,Alaska,112368,702.30246929
WEST,Pacific,2,AK,Alaska,107875,770.53870252
WEST,Pacific,2,AK,Alaska,106006,683.10004853
WEST,Pacific,2,AK,Alaska,102785,728.61979652
WEST,Pacific,2,AK,Alaska,108608,578.5425442
WEST,Pacific,2,AK,Alaska,111207,826.24273091
WEST,Pacific,2,AK,Alaska,105150,747.05365258
WEST,Pacific,2,AK,Alaska,102253,1181.0933314
WEST,Pacific,2,AK,Alaska,103825,595.64450776
WEST,Pacific,2,AK,Alaska,106304,677.0581435
WEST,Pacific,2,AK,Alaska,116077,736.88670648
WEST,Pacific,2,AK,Alaska,107596,689.87355728
WEST,Pacific,2,AK,Alaska,113238,935.41819927
WEST,Pacific,2,AK,Alaska,115750,716.43867379
WEST,Pacific,2,AK,Alaska,118077,483.22757249
WEST,Pacific,2,AK,Alaska,106641,1092.98622
WEST,Pacific,2,AK,Alaska,112479,1218.2538129
WEST,Pacific,2,AK,Alaska,113784,505.92771752
WEST,Pacific,2,AK,Alaska,102146,770.70667404
WEST,Pacific,2,AK,Alaska,100720,728.0006903
WEST,Pacific,2,AK,Alaska,101198,477.06756991
WEST,Pacific,2,AK,Alaska,112191,1038.4932829
WEST,Pacific,2,AK,Alaska,105132,1094.8224647
WEST,Pacific,2,AK,Alaska,101605,754.13554993
WEST,Pacific,2,AK,Alaska,105481,697.61966857
WEST,Pacific,2,AK,Alaska,107854,775.81152834
WEST,Pacific,2,AK,Alaska,109273,1037.5974715
WEST,Pacific,2,AK,Alaska,104489,1318.0142104
WEST,Pacific,2,AK,Alaska,109076,728.0006903
