"HDD65","CDD65","HDD30YR_PUB","CDD30YR_PUB","DOEID","NWEIGHT"
10681,1,10256,0,116390,926.66123097
14070,1,13896,0,110200,872.25204785
10591,1,9939,42,118328,704.28955987
10590,1,10251,0,109477,763.59517611
10599,1,10151,0,103713,1184.5429538
10630,1,10134,1,110053,1251.4491802
10786,1,11514,0,117279,887.47161514
14468,1,15409,3,106178,1104.8797355
10683,1,11484,0,101178,1225.8243558
10796,1,10993,49,102958,568.7088117
10687,1,11312,7,115088,851.96594691
10782,1,11457,0,112223,915.05577239
10772,1,10467,4,113308,1340.3898131
10595,1,9993,22,112271,699.21060619
10748,1,10177,36,115734,703.77375425
10652,1,10638,6,106409,721.84951616
13869,1,13468,51,102253,1181.0933314
10773,1,10540,20,108662,628.94271124
10633,1,10356,46,106880,698.86371774
10741,1,11632,0,115096,755.71998091
10799,1,10097,47,115784,437.92577799
10591,1,9962,38,105093,1133.4004992
10794,1,11222,19,116208,1197.5570464
10614,1,11397,0,108851,910.82076371
14075,1,13805,0,104782,776.02170426
10816,1,10825,0,115211,567.12602125
14073,1,13214,73,110491,747.86744888
10589,1,10171,7,111791,771.18477681
10671,1,10071,11,104934,517.32441767
10577,1,10367,0,116253,1105.6269143
14085,1,13221,62,114155,613.12729333
10594,1,10069,11,108126,568.06958063
10632,1,11037,0,105191,698.86371774
10607,1,10342,0,104267,775.02264868
10592,1,10021,29,104812,1157.1484013
10705,1,10585,14,115501,672.4220481
10807,1,10445,0,101763,1052.3013285
10591,1,10455,0,103089,1078.7748836
14468,1,15019,41,109454,673.01526995
10956,1,10387,17,109147,788.3821418
10769,1,11274,12,104408,756.96996404
10775,1,10976,52,110822,1098.2247018
10246,1,11064,0,103689,2818.1946354
10913,1,11300,0,104909,1398.2204795
10749,1,11180,0,106304,677.0581435
14075,1,13631,27,110909,923.36431953
10744,1,10092,58,115566,915.05545984
10604,1,10222,0,115068,1155.8562549
10802,1,10727,0,118228,754.13554993
10652,1,10718,0,113831,654.49152025
10704,1,10262,23,111518,730.35322573
10715,1,10362,9,118092,676.67266808
10564,1,10118,4,106051,881.31283265
10778,1,11276,12,105967,715.72552965
14067,1,13842,3,100696,949.62003192
10564,1,10348,0,110129,818.27299067
14088,1,13349,56,113200,844.99698434
10822,1,10752,0,105146,482.27057073
10800,1,11209,21,111723,599.92001637
10796,1,11325,6,102502,1281.4163954
10636,1,10293,0,114925,697.61966857
10540,1,10249,0,109390,608.36221182
10685,1,10430,10,106641,1092.98622
10744,1,11427,0,107875,770.53870252
10608,1,10124,3,102007,995.93006748
10691,1,10214,30,110411,628.58462981
10593,1,10016,30,114198,786.90929875
10604,1,10473,0,113930,987.26097245
10601,1,9911,34,108863,984.88028218
10791,1,11488,0,111795,947.35770341
10761,1,10102,47,108014,494.7316813
10749,1,10527,22,118458,677.0581435
10720,1,10354,20,101587,967.1284284
10687,1,11595,0,117365,548.03689347
10694,1,11139,30,114731,1108.3024282
10767,1,10106,56,112507,987.52604061
10704,1,10742,83,100989,793.03265106
10779,1,11339,4,103066,1052.1255254
10637,1,10344,48,101481,514.92305588
14075,1,13760,13,102289,1078.8445964
10753,1,11574,0,100180,486.30413863
10859,1,11168,14,108634,754.13554993
14062,1,13360,57,117546,625.15196592
10778,1,10848,69,116935,707.28113977
10607,1,9968,26,117929,1361.2608449
10768,1,10644,0,110199,985.18223433
7120,1,6875,45,108257,1058.1377353
10688,1,10743,0,105661,703.97328803
14069,1,12926,105,101713,745.32045214
10593,1,9476,14,112091,1145.4942274
10569,1,10495,0,100882,780.34933943
10697,1,11659,0,109031,812.22720906
10552,1,10552,0,111836,538.53500395
10593,1,10419,0,112479,1218.2538129
14071,1,13435,49,103912,1081.0072026
10705,1,11455,0,101910,945.4530843
10788,1,10896,0,115750,716.43867379
10794,1,11515,0,118170,830.50817598
10590,1,10148,11,100672,976.03473358
10783,1,10154,39,104668,763.53758907
10708,1,11526,0,101198,477.06756991
10569,1,10083,20,101478,863.91033875
10589,1,10037,27,112872,789.9976007
10697,1,11184,24,103296,552.81443343
10601,1,10281,0,109170,596.84438423
10806,1,10665,0,110883,848.57038959
10683,1,11191,23,113347,634.93225591
10807,1,10173,36,116077,736.88670648
10796,1,11594,0,114358,568.7088117
10797,1,10820,0,111899,572.373388
10640,1,10777,0,113238,935.41819927
10810,1,10841,0,105109,482.27057073
10798,1,11013,0,112023,1155.8562549
14074,1,13599,19,114837,769.60417522
10797,1,10928,0,107881,955.93048171
10609,1,9474,14,105150,747.05365258
10704,1,10490,27,112368,702.30246929
10604,1,9633,76,100871,1006.4932979
10779,1,10261,23,113801,566.20365504
10784,1,11007,48,112698,665.14583849
7121,1,7038,10,115072,1231.0633691
10590,1,10250,0,100421,1154.3018361
10604,1,10254,0,116721,803.19844561
10615,1,11261,14,108098,852.75715613
14066,1,13531,38,114128,625.15196592
10738,1,11544,0,107882,579.57258447
10568,1,10453,0,110706,838.34828144
10697,1,11170,26,108720,746.00575627
10562,1,10502,0,112127,1158.2218826
10801,1,11124,32,111649,458.62135539
14013,1,13573,33,101975,1088.9056657
10777,1,10386,50,107041,524.77223848
14088,1,13084,77,110022,819.08740022
10913,1,11220,0,104489,1318.0142104
10591,1,10319,0,115094,875.02822436
10708,1,11186,24,111647,869.56080306
10555,1,9660,82,105974,530.71790508
10778,1,11152,28,106006,683.10004853
10564,1,10301,0,107629,1070.1954139
10719,1,11312,7,113298,755.71998091
10634,1,9861,42,114671,895.46260424
10779,1,11604,0,106350,860.85925918
10608,1,9973,25,109127,1475.118791
2342,257,2638,132,107762,13692.117519
4875,257,5087,203,105495,4309.3875768
4316,257,4778,162,112923,13187.678939
5697,513,5453,560,110882,7080.0433971
5697,513,5778,479,104014,2939.1005102
7072,513,7334,435,118310,6595.2251066
5697,513,5541,535,105223,2972.649515
5697,513,5711,496,117481,4289.3568294
6689,513,7245,350,106303,8025.1779021
7292,513,7682,413,113038,1033.612213
5696,513,5339,592,115078,3752.6993894
5697,513,5834,464,114659,3648.8182634
6038,769,6785,508,108515,8344.2982265
7396,769,7869,627,107155,5443.1583222
6113,769,6826,445,114486,3424.8253274
5013,769,5489,681,104370,4037.6959777
5882,769,6314,811,115585,5526.2947058
2450,769,2809,347,117667,8690.8892049
5769,769,6699,371,107559,4089.8131053
5877,769,6291,817,101371,5540.9291618
5193,769,5974,471,103999,1892.8705478
6120,769,6642,486,110149,3819.7651654
4745,1025,4947,1029,105184,3331.5102035
