"HHSEX","HHAGE","EMPLOYHH","EDUCATION","SDESCENT","HOUSEHOLDER_RACE","NHSLDMEM","NUMCHILD","NUMADULT1","NUMADULT2","ATHOME","MONEYPY","ZATHOME","ZEDUCATION","ZEMPLOYHH","ZHHAGE","ZHHSEX","ZMONEYPY","ZNHSLDMEM","ZNUMADULT1","ZNUMADULT2","ZNUMCHILD","ZSDESCENT","ZHOUSEHOLDER_RACE","DOEID","NWEIGHT"
1,42,1,4,0,1,2,0,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,114854,4866.0038939
1,42,1,5,0,1,2,0,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,106211,3203.3865656
2,42,1,5,0,1,2,0,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,110492,1795.6055618
1,42,4,2,0,1,2,0,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,109970,5069.3052301
1,42,1,4,0,2,2,0,1,1,1,11,0,0,0,0,0,0,0,0,1,1,0,0,110865,5576.8820588
2,42,4,3,0,1,2,1,1,0,5,14,0,0,0,0,0,0,0,0,1,1,0,0,100956,2477.7200679
1,42,1,3,0,1,2,1,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,118476,4882.1754132
1,42,1,4,0,1,2,0,2,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,114044,3853.4972183
1,42,4,3,0,1,2,0,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,101963,4393.9537267
1,42,1,4,0,2,2,0,1,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,112681,7316.8598508
2,42,1,2,0,1,2,0,2,0,0,13,1,1,1,1,0,1,1,1,1,1,1,1,105324,4867.914079
1,42,4,3,0,2,2,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,112078,4922.5686401
2,42,1,4,0,1,2,0,2,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,103681,4708.4408256
1,42,1,4,0,1,2,1,1,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,100934,8843.2378447
1,42,2,1,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111289,4818.4477894
2,42,1,5,0,1,2,0,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,103290,6938.2781288
2,42,1,3,1,3,2,0,2,0,5,11,0,0,1,1,1,0,0,0,0,0,0,0,102951,6695.9083331
1,42,1,2,1,2,2,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,103640,11585.329583
2,42,1,5,0,1,3,1,2,0,5,16,0,0,0,1,0,1,0,0,0,0,0,1,114429,6337.730117
1,42,1,5,0,1,3,2,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,106598,6926.885895
2,42,1,2,0,2,3,1,2,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,103528,7514.6737471
1,42,1,5,0,6,3,2,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,109020,4774.9937536
2,42,2,3,0,1,3,2,1,0,5,14,0,0,0,0,0,1,0,0,0,0,0,0,108784,10898.321643
1,42,1,3,0,1,3,0,3,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,103021,16233.129628
1,42,1,3,0,1,3,1,2,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,111913,4619.7174318
2,42,1,5,0,1,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,109988,1034.9713971
2,42,1,5,1,1,3,0,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,106191,1202.5922604
1,42,1,4,0,1,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,110501,15440.294143
2,42,1,2,1,1,3,2,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,101081,7279.1257121
2,42,1,5,0,4,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,105429,8878.6982279
2,42,1,5,0,1,3,1,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,109283,1384.3053022
1,42,4,2,1,1,3,2,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1,103705,13306.477397
2,42,1,2,1,1,3,1,2,0,5,12,0,0,0,0,0,0,0,0,0,0,0,1,101772,11689.126253
2,42,1,4,0,1,3,1,2,0,5,14,0,0,0,1,0,0,0,0,0,0,0,0,116810,11789.065473
1,42,1,5,0,1,3,1,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,109533,8436.2450505
2,42,1,3,1,3,3,1,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,1,113995,10420.001182
1,42,1,5,0,2,3,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,115836,6481.894243
1,42,1,5,0,4,3,2,1,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,100994,11194.387504
2,42,1,3,0,1,3,1,2,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,108885,7398.7861052
2,42,1,5,0,1,3,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,105202,3221.3326778
2,42,1,3,0,1,3,1,2,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,101885,6683.1746121
1,42,1,5,0,1,3,1,2,0,5,16,0,0,0,0,0,1,0,0,0,0,0,0,104578,948.01474546
1,42,1,2,0,1,3,0,3,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,106080,10561.703856
1,42,4,3,0,1,3,1,2,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,103926,1719.5712586
2,42,1,4,0,1,3,1,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,117095,15744.035117
1,42,2,3,0,2,3,1,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,115566,915.05545984
1,42,1,2,0,2,3,2,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,102742,2575.2889097
1,42,1,2,0,1,3,2,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,113139,3231.2121104
1,42,1,2,1,1,3,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,105982,4191.7432474
1,42,1,5,0,1,3,2,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,111301,2273.1473049
1,42,1,3,0,1,3,1,2,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,101421,1610.4790483
1,42,1,3,0,2,3,2,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,109025,7873.7644422
1,42,1,3,0,1,3,1,2,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,103887,5176.2206639
2,42,4,1,1,1,3,0,3,0,5,8,0,0,0,0,0,0,0,0,0,0,0,1,112083,15047.160257
1,42,2,3,0,1,3,1,2,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,108676,3216.9362158
1,42,1,2,1,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,113489,7546.6278395
2,42,1,4,0,1,3,0,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,115660,3591.4299249
1,42,1,5,0,2,3,0,1,2,5,13,0,0,0,0,0,0,0,0,0,0,0,0,115456,5755.6326655
1,42,4,3,0,1,3,0,3,0,5,13,0,0,0,0,0,0,0,0,0,0,0,1,112317,15771.272321
2,42,1,5,1,1,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,117904,7367.7030185
2,42,1,4,0,1,3,1,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,114933,3874.9082482
1,42,3,5,0,1,3,1,2,0,5,9,0,0,0,0,0,1,0,0,0,0,0,1,110895,9078.8216543
1,42,1,5,1,6,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,116834,13283.372619
2,42,1,4,0,1,3,1,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,115287,8402.1423005
2,42,1,2,1,1,3,1,2,0,4,10,0,0,0,0,0,0,0,0,1,1,0,1,106413,7296.6088053
1,42,4,4,0,1,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,106967,8479.9112937
1,42,1,3,0,1,3,1,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,114504,11979.229513
2,42,1,2,0,1,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,118008,6401.3345586
1,42,1,5,0,1,3,1,2,0,5,13,0,0,0,0,0,0,1,1,1,0,0,0,109732,7224.7320324
1,42,4,4,0,1,3,2,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,111788,4768.1619679
1,42,1,4,0,1,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,114193,3766.5902488
2,42,1,5,0,4,3,1,2,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,103058,9841.8825717
2,42,4,2,0,1,3,1,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,102224,950.21715798
2,42,1,3,0,1,3,2,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,110930,5425.7562969
2,42,1,1,0,1,3,1,2,0,3,10,0,0,0,0,0,0,0,0,1,1,0,1,103215,12150.390597
2,42,1,3,0,1,3,1,2,0,5,15,0,0,0,1,0,0,0,0,0,0,0,0,101931,9181.4994161
2,42,1,3,1,1,3,1,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,105755,14127.793075
2,42,1,5,0,1,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,105944,8625.7297251
1,42,4,4,0,4,3,1,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,118122,14911.132266
1,42,1,5,0,1,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,115494,910.59817474
1,42,4,3,0,1,3,0,3,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,105254,2569.1268973
1,42,2,2,0,1,3,0,3,0,5,9,0,0,0,0,0,1,0,0,0,0,0,0,113108,5663.3765551
1,42,1,3,0,1,3,0,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,116090,6327.5668992
1,42,2,5,0,1,3,1,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,105409,7439.8829631
2,42,1,5,0,4,3,1,2,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,108231,4535.9735841
2,42,2,1,0,1,4,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,104370,4037.6959777
2,42,2,3,0,1,4,2,2,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,103289,7126.8922153
2,42,4,3,0,1,4,2,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,114716,6061.6803431
1,42,1,5,0,1,4,2,2,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,104866,7349.4139638
1,42,1,3,1,1,4,2,2,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,116852,5178.2905484
1,42,1,4,0,4,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,103883,8367.1787794
2,42,1,5,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,114194,11417.221063
1,42,1,4,0,1,4,2,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,117119,808.54015335
2,42,3,5,0,1,4,2,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,106671,6259.4297411
1,42,4,3,1,1,4,1,3,0,5,7,0,0,0,0,0,1,0,0,0,0,0,1,114648,11534.227187
2,42,1,5,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,108825,10344.633043
1,42,4,3,1,1,4,1,3,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,112923,13187.678939
2,42,1,5,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,114147,7002.4928871
2,42,1,3,0,6,4,2,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,118183,5129.2072451
1,42,4,3,0,2,4,1,2,1,5,13,0,0,0,0,0,0,0,0,0,0,0,0,103928,10859.614626
1,42,1,4,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,113514,4054.89294
2,42,1,4,0,1,4,2,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,102810,1954.7897916
1,42,1,3,0,1,4,2,2,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,104153,7975.0445142
1,42,4,5,0,4,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,105934,3130.0336123
2,42,1,3,0,4,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,102686,12685.557286
1,42,1,3,0,1,4,2,2,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,118149,10792.210469
2,42,1,5,0,4,4,2,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,113310,5139.6466768
1,42,1,3,0,1,4,1,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,110920,8882.3367368
1,42,4,2,0,3,4,1,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,114475,9781.742063
2,42,1,3,0,1,4,2,2,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,101232,13974.17757
2,42,1,2,1,1,4,2,2,0,3,9,0,0,0,0,0,0,0,0,0,0,0,1,103744,7537.4262873
2,42,1,5,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,108085,8216.5916982
1,42,4,2,1,1,4,3,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,102312,11386.072444
1,42,1,2,1,1,4,0,4,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,111807,13030.438449
1,42,4,2,0,1,4,2,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,110899,11713.643604
1,42,1,3,0,1,4,2,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,111790,4253.7678579
2,42,1,4,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,109503,6058.9022342
2,42,1,1,0,1,4,2,2,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,114243,11495.395247
2,42,1,4,0,1,4,2,2,0,5,16,0,0,0,0,0,0,1,0,1,0,0,0,110166,5583.2244041
2,42,2,4,0,5,4,1,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,110191,3533.7728599
1,42,4,4,0,4,4,2,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,102590,13131.190712
1,42,1,2,0,1,4,2,2,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,102685,2273.127938
1,42,2,3,0,1,4,2,2,0,5,12,0,0,0,1,1,0,0,0,0,0,1,1,103405,1094.9062934
2,42,1,4,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,112101,7991.3897139
1,42,1,5,0,1,4,2,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,106932,6219.0211848
1,42,1,5,0,4,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,1,103494,10333.336396
1,42,1,4,0,4,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,112059,6124.2652747
1,42,1,3,0,1,4,2,2,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,100798,4847.301528
1,42,1,2,0,1,4,2,2,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,102993,5622.228276
1,42,4,4,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,107288,8391.5414364
2,42,1,5,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,104842,6692.3844937
1,42,1,4,0,1,4,2,2,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,104899,4768.526374
1,42,1,4,0,1,4,2,2,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,107563,5353.6084347
1,42,2,3,0,2,4,2,2,0,5,10,0,0,0,0,0,0,1,0,1,0,0,0,116488,14982.89607
2,42,1,5,0,1,4,2,2,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,118080,869.30720553
2,42,1,4,0,1,4,2,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,100773,3086.9901769
2,42,1,5,0,4,4,2,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,106094,4910.5752075
1,42,2,4,0,2,4,3,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,110279,8240.3191383
2,42,1,4,0,1,4,2,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,107959,8285.4637509
1,42,1,3,0,1,4,1,3,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,100760,4910.5161495
1,42,1,3,0,1,4,2,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,118331,12533.966843
2,42,1,3,0,6,4,2,2,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,107164,1664.1071262
2,42,1,2,0,2,4,2,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,105489,10343.206141
1,42,4,5,0,2,4,1,3,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,113843,9734.0161188
2,42,1,3,1,1,4,2,2,0,5,11,0,0,0,0,0,0,0,0,0,0,0,1,106498,3638.6483788
1,42,1,5,0,6,4,1,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,105094,5707.9231672
1,42,2,3,1,1,4,2,2,0,3,12,0,0,0,0,0,0,0,0,0,0,0,1,115623,9637.126063
2,42,1,5,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,116458,6736.2308623
1,42,2,4,0,1,4,2,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,111362,5989.5741444
1,42,1,4,0,1,4,2,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,103073,910.82076371
1,42,4,4,0,1,4,2,2,0,5,14,0,0,0,0,0,1,0,0,0,0,0,0,100968,6232.7309049
2,42,1,3,0,1,4,1,2,1,5,16,0,0,0,0,0,0,0,0,0,0,0,0,107114,7882.6057703
1,42,1,3,0,1,4,1,3,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,118072,3386.0784165
1,42,1,4,0,1,4,2,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,116210,2008.5488169
1,42,1,5,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,115002,8401.7935193
1,42,1,2,0,1,4,2,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,118332,12146.614961
1,42,1,3,0,1,4,0,4,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,107273,9408.7148373
1,42,1,2,0,1,4,2,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,103429,4266.2658563
1,42,4,4,1,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,102346,15081.00369
2,42,1,3,0,1,4,0,3,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,110436,9870.2609447
2,42,1,5,0,4,4,2,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,103892,11102.632873
1,42,1,4,0,4,4,2,2,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,104541,11878.210818
1,42,4,5,0,1,4,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,108794,4267.2240721
2,42,1,4,0,1,4,2,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,100470,4051.6456564
1,42,1,3,0,1,4,0,4,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,107695,6967.3198627
1,42,1,3,0,1,4,0,4,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,102866,9843.0764777
1,42,1,3,0,1,5,3,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,117936,9685.1292736
2,42,1,5,0,2,5,1,3,1,5,14,0,0,0,0,0,0,0,0,0,0,0,0,115850,1059.8055136
1,42,1,3,0,1,5,2,3,0,5,10,0,0,0,0,0,0,1,0,1,0,0,0,100118,5157.3378569
1,42,4,3,0,1,5,3,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,100697,5052.1435122
1,42,4,2,1,1,5,3,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,102950,3722.3220255
2,42,1,5,0,1,5,1,4,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,104486,3820.8792189
1,42,1,5,0,1,5,3,2,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,117385,4782.8131889
1,42,4,4,0,1,5,3,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,104552,7154.284749
1,42,1,2,1,1,5,2,2,1,5,10,0,0,0,0,1,0,0,0,0,0,0,1,106100,6651.6409438
2,42,1,5,0,6,5,3,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,118347,1127.5738512
1,42,4,3,0,6,5,2,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,101022,3988.9171693
1,42,2,3,0,1,5,3,2,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,103891,5212.0615747
1,42,1,2,0,1,5,2,3,0,0,15,0,0,0,0,0,0,1,0,1,1,0,0,116710,5231.18142
1,42,2,4,1,1,5,2,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,1,109696,10138.405904
1,42,2,4,1,1,5,3,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,105914,11001.368955
2,42,1,5,0,1,5,3,2,0,5,16,0,0,0,0,0,1,0,0,0,0,0,1,108214,4858.2253655
2,42,1,1,0,1,5,2,2,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,102608,9821.2405961
1,42,1,3,0,1,5,1,4,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,113910,3071.0979574
1,42,4,3,1,1,5,3,2,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,115411,13054.150474
2,42,1,4,0,1,5,3,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,103131,6948.2018232
2,42,1,4,0,1,5,3,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,101845,7507.6699618
1,42,1,3,0,1,5,2,3,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,107683,856.68877866
2,42,4,2,0,1,5,3,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,101749,6144.5581667
1,42,1,3,0,1,5,3,2,0,3,15,0,0,0,0,0,1,0,0,0,0,0,0,108051,7285.681401
1,42,3,5,0,1,5,3,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,101032,2193.6930785
1,42,4,5,0,1,5,3,2,0,4,16,0,0,0,0,0,0,1,0,1,0,0,0,105276,3688.0370252
1,42,4,3,1,1,5,3,2,0,5,7,0,0,0,0,0,1,0,0,0,0,0,0,116717,5487.5572171
1,42,1,4,0,1,5,3,2,0,5,11,0,0,0,0,0,0,1,1,1,0,0,0,104323,6988.2012248
1,42,1,5,0,1,5,3,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,113993,4907.8700599
1,42,1,2,1,5,5,3,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,113394,1496.494977
2,42,1,4,0,1,5,3,2,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,112447,5432.2293214
1,42,1,4,0,2,5,3,1,1,5,15,0,0,0,0,0,0,0,0,0,0,0,0,100848,3997.2040341
1,42,1,3,1,1,5,3,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,1,116684,14554.796321
1,42,1,4,0,1,5,2,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,111394,9267.404747
1,42,1,3,0,2,5,4,1,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,117442,6101.413157
1,42,1,3,0,1,5,3,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,102075,717.42828264
1,42,4,2,1,1,6,2,4,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0,117067,8676.3946166
2,42,1,4,0,1,6,4,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,104000,5389.3568938
2,42,1,3,0,1,6,4,2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,117866,4657.3031959
2,42,1,5,0,4,6,2,2,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,102023,7436.0113118
1,42,1,5,0,1,6,4,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,105761,3680.5332967
2,42,1,2,0,1,6,4,2,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,106403,9140.5375235
2,42,2,5,0,2,6,3,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,105838,3022.5234764
2,42,2,3,0,1,7,4,3,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,104529,1660.7912996
2,42,1,4,0,1,7,4,3,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,113652,12419.443515
1,42,1,3,0,2,7,4,1,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,114989,3591.9770191
1,42,4,2,0,1,7,3,4,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,116561,3243.459065
1,42,1,4,0,1,7,4,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,111882,731.15145547
2,42,1,5,0,1,7,3,3,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,110751,4041.3846773
1,42,4,2,0,2,7,4,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,103178,1009.0119608
2,42,1,3,0,4,7,3,2,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,113963,1327.1009032
1,42,1,3,0,1,7,4,3,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,105133,5122.6640583
2,42,2,2,0,3,7,4,3,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,104489,1318.0142104
2,42,1,4,0,1,7,4,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,112382,783.55519418
1,42,4,4,0,1,7,4,3,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,105301,2986.1539631
2,43,1,5,0,2,1,0,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,106320,14007.080933
1,43,1,2,0,1,1,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,110797,11359.327895
2,43,2,2,0,2,1,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,116124,9087.4201375
1,43,1,5,0,2,1,0,1,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,117264,10126.59359
1,43,4,3,0,1,1,0,1,0,3,5,0,0,0,1,0,0,1,1,1,0,0,1,117365,548.03689347
1,43,1,5,0,1,1,0,1,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,117390,1329.2756991
2,43,1,4,0,1,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,103468,2216.8817642
2,43,1,5,0,4,1,0,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,111227,8815.2296412
1,43,1,3,0,1,1,0,1,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,106603,3817.9366416
2,43,1,3,0,1,1,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,101485,5826.2082791
2,43,1,3,0,1,1,0,1,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,116737,8983.5957414
2,43,1,5,0,1,1,0,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,112294,13570.20214
1,43,1,4,0,1,1,0,1,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,108816,577.31376624
2,43,1,3,0,1,1,0,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,112418,3780.9524866
1,43,1,4,0,1,1,0,1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,111886,2346.1939736
2,43,1,3,0,1,1,0,1,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,109276,1782.3227861
2,43,4,2,0,1,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,100025,8953.7520864
