"TYPETHERM","HEATCNTL","TEMPHOME","TEMPGONE","TEMPNITE","COOLCNTL","TEMPHOMEAC","TEMPGONEAC","TEMPNITEAC","ZHEATCNTL","ZTEMPGONE","ZTEMPGONEAC","ZTEMPHOME","ZTEMPHOMEAC","ZTEMPNITE","ZTEMPNITEAC","ZTYPETHERM","DOEID","NWEIGHT"
1,2,68,50,68,4,70,80,70,0,0,0,0,0,0,0,0,117304,9379.7020972
1,1,70,50,70,1,70,80,69,0,0,0,0,0,0,0,0,105832,5614.1876677
1,2,60,50,50,1,70,60,55,0,0,0,0,0,0,0,0,110819,5691.0040501
0,4,68,50,68,2,70,65,70,0,0,0,0,0,0,0,0,100997,19877.059568
3,3,67,50,50,3,70,82,67,0,0,0,0,0,0,0,0,108370,11156.269119
3,3,66,50,55,4,70,75,72,0,0,0,0,0,0,0,0,114636,5130.1247951
1,1,65,50,55,4,70,70,70,0,0,0,0,0,0,0,0,112739,4927.5271639
2,1,65,50,50,4,70,85,70,0,0,0,0,0,0,0,0,102518,8387.2704865
0,4,80,50,70,4,70,80,70,0,0,0,0,0,0,0,0,101263,8896.7340052
2,2,70,50,50,1,70,60,50,0,0,0,0,0,0,0,0,104296,4269.3279645
2,3,68,50,50,2,70,80,70,0,0,0,0,0,0,0,0,113845,2726.8091253
2,2,74,50,65,4,70,80,70,0,0,0,0,0,0,0,0,105014,8036.0687432
2,1,55,50,55,1,70,70,70,0,0,0,0,0,0,0,0,113485,6137.0808759
1,1,68,50,68,1,70,85,68,0,0,0,0,0,0,0,0,107582,7155.0034851
0,99,65,50,60,4,70,70,70,0,0,0,0,0,0,0,0,104446,5318.054267
1,4,60,50,50,4,70,70,60,0,0,0,0,0,0,0,0,104412,5105.2360167
1,1,65,50,60,2,70,65,60,0,0,1,0,0,0,0,0,100389,5878.7752689
1,2,70,50,70,2,70,85,70,0,0,0,0,0,0,0,0,112458,6543.0679455
1,2,70,50,65,2,70,70,80,0,0,0,0,0,0,0,0,102577,14179.328598
1,2,50,50,50,2,70,70,70,0,0,0,0,0,0,0,0,117196,1147.9954337
0,4,65,50,68,4,70,80,65,0,0,0,0,0,0,0,0,103268,10976.194558
1,1,68,50,68,1,70,70,70,0,1,1,0,0,0,0,0,105787,1401.8173606
3,3,68,50,50,3,70,78,74,0,0,0,0,0,0,0,0,116611,5002.5456454
1,2,65,50,62,2,70,80,69,0,0,0,0,0,0,0,0,110981,5905.3275836
0,4,60,50,72,4,70,70,70,0,0,0,0,0,1,0,0,108692,7758.3903598
0,2,60,50,65,2,70,75,70,0,0,0,0,0,0,0,0,107368,6422.6042251
2,99,60,50,60,4,70,80,80,0,0,0,0,0,0,0,1,112854,8365.1210845
1,1,70,50,65,1,70,70,70,0,0,0,0,0,0,0,0,101727,2785.711308
0,1,70,50,70,1,70,80,70,0,0,0,0,0,0,0,0,112377,5805.1362784
1,2,65,50,70,4,70,80,65,0,0,0,0,0,1,0,0,118384,12428.508109
